Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,
ayiw1239,Äiwoo,Austronesian,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,Dunn et al. 2002: 52,Ergative alignment maintained in non-main clauses.,
ayiw1239,Äiwoo,Austronesian,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,1,"Dunn et al. 2002: 32, 52",At least two factors are identified that condition the appearance of ergative-type alignments: clause type and semantic property of the verb.,
ayiw1239,Äiwoo,Austronesian,GB409_23,Are the ergative and the genitive expressed by the same marker?,?,Dunn et al. 2002: in passim,"Based on the information provided in the document, it is not possible to determine this feature with certainty.",
ayiw1239,Äiwoo,Austronesian,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,0,"Næss 2015: 82, 86","There is no ergative case, therefore it is not the same marker for the instrumental or comitative case.",
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
