Glottocode,Name,Family,Split,val_a,val_b,Category
bund1253,Bundeli,Indo-European,"Tense
(NON-PAST vs PAST)",0,1,Expected split
bund1253,Bundeli,Indo-European,"Mood
(NON-IND vs IND)",1,1,Uniform ERG
bund1253,Bundeli,Indo-European,"Realis
(IRR vs REAL)",1,1,Uniform ERG
byan1241,Byansi,Trans-Himalayan,"Aspect
(IMPF vs PERF)",1,1,Uniform ERG
byan1241,Byansi,Trans-Himalayan,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
byan1241,Byansi,Trans-Himalayan,"Mood
(NON-IND vs IND)",1,1,Uniform ERG
byan1241,Byansi,Trans-Himalayan,"Realis
(IRR vs REAL)",1,1,Uniform ERG
caca1251,Kakataibo,Panoan,"Aspect
(IMPF vs PERF)",1,1,Uniform ERG
caca1251,Kakataibo,Panoan,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
caca1251,Kakataibo,Panoan,"Mood
(NON-IND vs IND)",1,1,Uniform ERG
caca1251,Kakataibo,Panoan,"Realis
(IRR vs REAL)",1,1,Uniform ERG
caml1239,Camling,Trans-Himalayan,"Aspect
(IMPF vs PERF)",1,1,Uniform ERG
caml1239,Camling,Trans-Himalayan,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
caml1239,Camling,Trans-Himalayan,"Mood
(NON-IND vs IND)",1,1,Uniform ERG
caml1239,Camling,Trans-Himalayan,"Realis
(IRR vs REAL)",1,1,Uniform ERG
casi1235,Casiguran Dumagat Agta,Austronesian,"Aspect
(IMPF vs PERF)",1,1,Uniform ERG
casi1235,Casiguran Dumagat Agta,Austronesian,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
casi1235,Casiguran Dumagat Agta,Austronesian,"Mood
(NON-IND vs IND)",1,1,Uniform ERG
casi1235,Casiguran Dumagat Agta,Austronesian,"Realis
(IRR vs REAL)",1,1,Uniform ERG
cavi1250,Cavineña,Tacanan,"Aspect
(IMPF vs PERF)",1,1,Uniform ERG
cavi1250,Cavineña,Tacanan,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
cavi1250,Cavineña,Tacanan,"Mood
(NON-IND vs IND)",1,1,Uniform ERG
cavi1250,Cavineña,Tacanan,"Realis
(IRR vs REAL)",1,1,Uniform ERG
cent2127,Central Alaskan Yupik,Eskimo-Aleut,"Aspect
(IMPF vs PERF)",1,1,Uniform ERG
cent2127,Central Alaskan Yupik,Eskimo-Aleut,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
cent2127,Central Alaskan Yupik,Eskimo-Aleut,"Mood
(NON-IND vs IND)",1,1,Uniform ERG
cent2127,Central Alaskan Yupik,Eskimo-Aleut,"Realis
(IRR vs REAL)",1,1,Uniform ERG
chac1251,Chacobo,Panoan,"Aspect
(IMPF vs PERF)",1,1,Uniform ERG
chac1251,Chacobo,Panoan,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
chac1251,Chacobo,Panoan,"Mood
(NON-IND vs IND)",1,1,Uniform ERG
chac1251,Chacobo,Panoan,"Realis
(IRR vs REAL)",1,1,Uniform ERG
chan1313,Chang Naga,Trans-Himalayan,"Aspect
(IMPF vs PERF)",1,1,Uniform ERG
chep1245,Chepang,Trans-Himalayan,"Aspect
(IMPF vs PERF)",1,1,Uniform ERG
chep1245,Chepang,Trans-Himalayan,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
chep1245,Chepang,Trans-Himalayan,"Mood
(NON-IND vs IND)",1,1,Uniform ERG
chep1245,Chepang,Trans-Himalayan,"Realis
(IRR vs REAL)",1,1,Uniform ERG
choc1275,Chocangacakha,Trans-Himalayan,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
choc1275,Chocangacakha,Trans-Himalayan,"Mood
(NON-IND vs IND)",1,1,Uniform ERG
chug1252,Duhumbi,Trans-Himalayan,"Aspect
(IMPF vs PERF)",1,1,Uniform ERG
chug1252,Duhumbi,Trans-Himalayan,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
chug1252,Duhumbi,Trans-Himalayan,"Mood
(NON-IND vs IND)",1,1,Uniform ERG
chug1252,Duhumbi,Trans-Himalayan,"Realis
(IRR vs REAL)",1,1,Uniform ERG
chuk1273,Chukchi,Chukotko-Kamchatkan,"Aspect
(IMPF vs PERF)",1,1,Uniform ERG
chuk1273,Chukchi,Chukotko-Kamchatkan,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
chuk1273,Chukchi,Chukotko-Kamchatkan,"Mood
(NON-IND vs IND)",1,1,Uniform ERG
coch1272,Cochimí,Cochimí-Yuman,"Mood
(NON-IND vs IND)",1,1,Uniform ERG
coch1272,Cochimí,Cochimí-Yuman,"Realis
(IRR vs REAL)",1,1,Uniform ERG
coeu1236,Coeur d'Alene,Salishan,"Mood
(NON-IND vs IND)",1,1,Uniform ERG
colu1241,Nxaamxcin,Salishan,"Aspect
(IMPF vs PERF)",1,1,Uniform ERG
colu1241,Nxaamxcin,Salishan,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
colu1241,Nxaamxcin,Salishan,"Mood
(NON-IND vs IND)",1,1,Uniform ERG
colu1241,Nxaamxcin,Salishan,"Realis
(IRR vs REAL)",1,1,Uniform ERG
coos1249,Hanis Coos,Coosan,"Aspect
(IMPF vs PERF)",1,1,Uniform ERG
coos1249,Hanis Coos,Coosan,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
coos1249,Hanis Coos,Coosan,"Mood
(NON-IND vs IND)",1,1,Uniform ERG
coos1249,Hanis Coos,Coosan,"Realis
(IRR vs REAL)",1,1,Uniform ERG
cuti1242,Katukina-Kanamari,Katukina,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
cuti1242,Katukina-Kanamari,Katukina,"Mood
(NON-IND vs IND)",1,1,Uniform ERG
cuti1242,Katukina-Kanamari,Katukina,"Realis
(IRR vs REAL)",1,1,Uniform ERG
daai1236,Daai Chin,Trans-Himalayan,"Aspect
(IMPF vs PERF)",1,1,Uniform ERG
daai1236,Daai Chin,Trans-Himalayan,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
daai1236,Daai Chin,Trans-Himalayan,"Mood
(NON-IND vs IND)",1,1,Uniform ERG
daai1236,Daai Chin,Trans-Himalayan,"Realis
(IRR vs REAL)",1,1,Uniform ERG
dara1250,Darai,Indo-European,"Aspect
(IMPF vs PERF)",1,1,Uniform ERG
dara1250,Darai,Indo-European,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
dara1250,Darai,Indo-European,"Mood
(NON-IND vs IND)",1,1,Uniform ERG
dara1250,Darai,Indo-European,"Realis
(IRR vs REAL)",1,1,Uniform ERG
darl1243,Paakantyi,Pama-Nyungan,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
darl1243,Paakantyi,Pama-Nyungan,"Realis
(IRR vs REAL)",1,1,Uniform ERG
darm1243,Darma,Trans-Himalayan,"Aspect
(IMPF vs PERF)",1,1,Uniform ERG
darm1243,Darma,Trans-Himalayan,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
