Glottocode,n_coded,n_match,score,score_of_total,ID,Name,Family,Ergative_type
arta1239,22,21,0.9545454545454546,0.9545454545454546,arta1239,Arta,Austronesian,Ergative
daai1236,22,21,0.9545454545454546,0.9545454545454546,daai1236,Daai Chin,Trans-Himalayan,Ergative
niue1239,22,21,0.9545454545454546,0.9545454545454546,niue1239,Niuean,Austronesian,Ergative
dier1241,22,21,0.9545454545454546,0.9545454545454546,dier1241,Dieri,Pama-Nyungan,Ergative
lush1249,22,21,0.9545454545454546,0.9545454545454546,lush1249,Mizo,Trans-Himalayan,Ergative
lezg1247,22,21,0.9545454545454546,0.9545454545454546,lezg1247,Lezgian,Nakh-Daghestanian,Ergative
east2516,21,20,0.9523809523809523,0.9090909090909091,east2516,East Kewa,Trans-New Guinea,Ergative
dumi1241,21,20,0.9523809523809523,0.9090909090909091,dumi1241,Dumi,Trans-Himalayan,Ergative
bala1311,21,20,0.9523809523809523,0.9090909090909091,bala1311,Balangao,Austronesian,Ergative
lamj1247,20,19,0.95,0.8636363636363636,lamj1247,Lamjung Yolmo,Trans-Himalayan,Ergative
agus1235,20,19,0.95,0.8636363636363636,agus1235,Agusan Manobo,Austronesian,Ergative
maga1263,20,19,0.95,0.8636363636363636,maga1263,Mag-anchi Agta,Austronesian,Ergative
darl1243,19,18,0.9473684210526315,0.8181818181818182,darl1243,Paakantyi,Pama-Nyungan,Ergative
east2773,19,18,0.9473684210526315,0.8181818181818182,east2773,Dolakha Newar,Trans-Himalayan,Ergative
dhar1248,18,17,0.9444444444444444,0.7727272727272727,dhar1248,Dharumbal,Pama-Nyungan,Ergative
namb1293,18,17,0.9444444444444444,0.7727272727272727,namb1293,Nmbo,Trans-New Guinea,Ergative
kaik1246,17,16,0.9411764705882353,0.7272727272727273,kaik1246,Kaike,Trans-Himalayan,Ergative
djam1255,17,16,0.9411764705882353,0.7272727272727273,djam1255,Jaminjung,Mirndi,Ergative
drun1238,17,16,0.9411764705882353,0.7272727272727273,drun1238,Drung,Trans-Himalayan,Ergative
kamu1260,17,16,0.9411764705882353,0.7272727272727273,kamu1260,Kamula,Trans-New Guinea,Ergative
